h_to_anti_mu_mu hmbarm
h_to_anti_tau_tau hlbarl
h_to_anti_s_s hsbars
h_to_anti_c_c hcbarc
h_to_anti_b_b hbbarb
h_to_anti_t_t htbart
h_to_anti_W_W hwbarw
h_to_Z_Z hzz
h_to_A_Z haz
h_to_G_G hgg
h_to_A_A haa
H0_to_anti_mu_mu hhmbarm
H0_to_anti_tau_tau hhlbarl
H0_to_anti_s_s hhsbars
H0_to_anti_c_c hhcbarc
H0_to_anti_b_b hhbbarb
H0_to_anti_t_t hhtbart
H0_to_anti_W_W hhwbarw
H0_to_Z_Z hhzz
H0_to_A_Z hhaz
H0_to_G_G hhgg
H0_to_A_A hhaa
H0_to_h_Z hhhz
H0_to_h_h hhhh
A0_to_anti_mu_mu h3mbarm
A0_to_anti_tau_tau h3lbarl
A0_to_anti_s_s h3sbars
A0_to_anti_c_c h3cbarc
A0_to_anti_b_b h3bbarb
A0_to_anti_t_t h3tbart
A0_to_anti_W_W h3wbarw
A0_to_Z_Z h3zz
A0_to_A_Z h3az
A0_to_G_G h3gg
A0_to_A_A h3aa
A0_to_h_Z h3hz
A0_to_h_h h3hh
Hp_to_mu_nu_mu hcmnm
Hp_to_tau_nu_tau hclnl
Hp_to_u_b hcub
Hp_to_u_s hcus
Hp_to_c_s hccs
Hp_to_c_b hccb
Hp_to_t_b hctb
Hp_to_W_h hcwh
Hp_to_W_A0 hcwh3
