~o1,~o1->E,e	o1o1ebare
~o1,~o1->Ne,ne	o1o1nebarne
~o1,~o1->M,m	o1o1mbarm
~o1,~o1->Nm,nm	o1o1nmbarnm
~o1,~o1->L,l	o1o1lbarl
~o1,~o1->Nl,nl	o1o1nlbarnl
~o1,~o1->U,u	o1o1ubaru
~o1,~o1->D,d	o1o1dbard
~o1,~o1->S,s	o1o1sbars
~o1,~o1->C,c	o1o1cbarc
~o1,~o1->B,b	o1o1bbarb
~o1,~o1->T,t	o1o1tbart
~o1,~o1->W-,W+	o1o1wbarw
~o1,~o1->Z,Z	o1o1zz
~o1,~o1->h,h	o1o1hh
~o1,~o1->h,Z	o1o1hz
~o1,~o1->H-,H+	o1o1hcbarhc
~o1,~o1->H-,W+	o1o1hcbarw
~o1,~o1->H,H	o1o1hhhh
~o1,~o1->h,H	o1o1hhh
~o1,~o1->H,Z	o1o1hhz
~o1,~o1->H3,H3	o1o1h3h3
~o1,~o1->h,H3	o1o1hh3
~o1,~o1->H,H3	o1o1hhh3
~o1,~o1->H3,Z	o1o1h3z
~o1->~CL,m	hmbarm
~o1->~SR,l	hlbarl
~o1->~DR,s	hsbars
~o1->~DL,c	hcbarc
~o1->~UR,b	hbbarb
~o1->~UL,t	htbart
~o1->~1-,W+	hwbarw
~o1->~2+,Z	hzz
~o1->~t2,Z	haz
~o1->~t1,G	hgg
~o1->~t2,A	haa
~o2->~CL,m	hhmbarm
~o2->~SR,l	hhlbarl
~o2->~DR,s	hhsbars
~o2->~DL,c	hhcbarc
~o2->~UR,b	hhbbarb
~o2->~UL,t	hhtbart
~o2->~1-,W+	hhwbarw
~o2->~2+,Z	hhzz
~o2->~t2,Z	hhaz
~o2->~t1,G	hhgg
~o2->~t2,A	hhaa
~o2->~o1,Z	hhhz
~o2->~o1,h	hhhh
~o4->~CL,m	h3mbarm
~o4->~SR,l	h3lbarl
~o4->~DR,s	h3sbars
~o4->~DL,c	h3cbarc
~o4->~UR,b	h3bbarb
~o4->~UL,t	h3tbart
~o4->~1-,W+	h3wbarw
~o4->~2+,Z	h3zz
~o4->~t2,Z	h3az
~o4->~t1,G	h3gg
~o4->~t2,A	h3aa
~o4->~o1,Z	h3hz
~o4->~o1,h	h3hh
~o3->~cL,nm	hcmnm
~o3->~sR,nl	hclnl
~o3->~b2,b	hcub
~o3->~b2,s	hcus
~o3->~dL,s	hccs
~o3->~dL,b	hccb
~o3->~uL,b	hctb
~o3->~1+,h	hcwh
~o3->~1+,H3	hcwh3
